Cuisine,Dish Name,Ingredients,Procedure
Nigerian,Nigerian Specialty,"Nigerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nigerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
German,Bratwurst with Sauerkraut,"bratwurst, sauerkraut, onions, mustard, oil, salt, pepper",Grill bratwurst until cooked. Sauté sauerkraut with onions and serve in a bun with mustard.
Uzbek,Uzbek Specialty,"Uzbek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uzbek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mediterranean,Mediterranean Specialty,"Mediterranean spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mediterranean spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Portuguese,Bacalhau à Brás,"salted cod, potatoes, eggs, onions, olives, parsley, salt, pepper, olive oil","Soak salted cod to remove excess salt. Sauté onions, add shredded cod and fried potato strips, then stir in beaten eggs until just set. Garnish with olives and parsley."
Romanian,Romanian Specialty,"Romanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Romanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Mexican,Tacos al Pastor,"pork, pineapple, chili peppers, achiote paste, garlic, onions, cilantro, lime, corn tortillas, salt","Marinate pork in achiote, chili, and spices. Roast with pineapple, then serve on warmed tortillas with onions, cilantro, and lime."
Lebanese,Chicken Shawarma,"chicken, yogurt, lemon juice, garlic, cumin, coriander, paprika, turmeric, salt, pepper, pita bread","Marinate chicken in yogurt, lemon, and spices, then roast until cooked. Slice thinly and serve in pita with salad and sauce."
Persian,Ghormeh Sabzi,"lamb, kidney beans, spinach, parsley, cilantro, fenugreek, dried limes, onions, garlic, turmeric, oil, salt, pepper","Brown lamb with onions and garlic, add herbs, beans, and dried limes, then simmer until tender."
Bulgarian,Bulgarian Specialty,"Bulgarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bulgarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Russian,Borscht,"beets, cabbage, carrots, potatoes, tomatoes, onions, garlic, dill, vinegar, salt, pepper",Boil vegetables in beef or vegetable broth with vinegar and seasonings until tender. Garnish with dill and serve hot or cold.
Singaporean,Hainanese Chicken Rice,"chicken, rice, ginger, garlic, pandan leaves, chicken broth, cucumber, chili sauce, salt, oil","Poach chicken with ginger and pandan leaves. Cook rice in chicken broth with garlic, then serve sliced chicken over the rice with cucumber and chili sauce."
Malaysian,Nasi Lemak,"rice, coconut milk, pandan leaves, anchovies, peanuts, boiled egg, sambal, cucumber, salt","Cook rice in coconut milk with pandan leaves. Fry anchovies and peanuts. Serve rice with boiled egg, sambal, and cucumber slices."
American,Classic Burger,"ground beef, hamburger buns, lettuce, tomato, cheddar cheese, onions, pickles, salt, pepper, condiments","Form ground beef into patties, season and grill to desired doneness. Assemble on a bun with fresh vegetables and condiments."
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Iraqi,Iraqi Specialty,"Iraqi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Iraqi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Argentinian,Asado,"beef ribs, chorizo, salt, pepper, chimichurri, garlic, olive oil, vinegar",Season meats with salt and pepper and grill slowly over coals. Serve with a tangy chimichurri sauce.
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Kazakh,Kazakh Specialty,"Kazakh spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kazakh spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Croatian,Croatian Specialty,"Croatian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Croatian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
French,Coq au Vin,"chicken, red wine, mushrooms, bacon, pearl onions, garlic, thyme, bay leaves, salt, pepper, oil","Marinate chicken in red wine and herbs. Brown bacon and chicken, add garlic and onions, then simmer with wine, mushrooms, and herbs until tender."
Afghan,Kabuli Pulao,"basmati rice, lamb, carrots, raisins, almonds, onions, spices, salt, oil","Cook lamb with onions and spices. Layer parboiled rice with lamb, carrots, raisins, and almonds, then steam until flavors meld."
Russian,Borscht,"beets, cabbage, carrots, potatoes, tomatoes, onions, garlic, dill, vinegar, salt, pepper",Boil vegetables in beef or vegetable broth with vinegar and seasonings until tender. Garnish with dill and serve hot or cold.
Senegalese,Senegalese Specialty,"Senegalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Senegalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Nepalese,Nepalese Specialty,"Nepalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nepalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
German,Sauerbraten,"beef roast, vinegar, water, onions, carrots, celery, garlic, bay leaves, cloves, sugar, salt, pepper, oil","Marinate beef in vinegar, water, and spices for several days. Brown and slow-cook the beef in the marinade until tender. Serve with the resulting gravy."
Hawaiian,Hawaiian Specialty,"Hawaiian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Hawaiian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
German,German Specialty,"German spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in German spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Indian,Butter Chicken,"chicken, butter, tomato puree, heavy cream, garlic, ginger, garam masala, cumin, coriander, turmeric, chili powder, salt","Marinate chicken with yogurt and spices. Sauté garlic and ginger in butter, add tomato puree and spices, then simmer. Add chicken and cream; cook until tender."
Bulgarian,Bulgarian Specialty,"Bulgarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bulgarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
New Zealand,Pavlova,"egg whites, sugar, vinegar, cornstarch, whipped cream, fruits","Whisk egg whites with sugar to stiff peaks, fold in vinegar and cornstarch, then bake until crisp outside and soft inside. Top with whipped cream and fresh fruits."
Libyan,Libyan Specialty,"Libyan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Libyan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Polynesian,Polynesian Specialty,"Polynesian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Polynesian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Turkmen,Turkmen Specialty,"Turkmen spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkmen spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Brazilian,Feijoada,"black beans, pork, beef, sausage, onions, garlic, bay leaves, orange, salt, pepper","Soak black beans overnight. Cook with assorted meats, onions, garlic, and spices until thick and flavorful. Garnish with orange slices."
Lithuanian,Lithuanian Specialty,"Lithuanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Lithuanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Dutch,Dutch Specialty,"Dutch spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dutch spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Ethiopian,Doro Wat,"chicken, onions, garlic, ginger, berbere spice, tomato paste, hard-boiled eggs, oil, salt, pepper","Slow-cook onions until caramelized, add garlic, ginger, and berbere spice. Stir in chicken and tomato paste, then simmer and add boiled eggs."
Kenyan,Kenyan Specialty,"Kenyan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kenyan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Italian,Spaghetti Carbonara,"spaghetti, pancetta, eggs, Parmesan cheese, black pepper, salt","Cook spaghetti until al dente. Fry pancetta until crisp. Mix eggs and cheese, then combine with hot pasta off the heat to create a creamy sauce. Season with pepper."
Saudi Arabian,Kabsa,"chicken, rice, tomatoes, onions, garlic, spices, raisins, almonds, salt, pepper, oil","Cook chicken with spices and tomatoes, layer rice over the chicken with raisins and almonds, then simmer until the rice is cooked."
Irish,Irish Specialty,"Irish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Irish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Nepalese,Nepalese Specialty,"Nepalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nepalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Iraqi,Iraqi Specialty,"Iraqi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Iraqi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
German,German Specialty,"German spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in German spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Polynesian,Polynesian Specialty,"Polynesian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Polynesian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Swiss,Fondue,"Gruyère cheese, Emmental cheese, white wine, garlic, cornstarch, kirsch, bread, salt, pepper","Melt cheeses with white wine and garlic, then stir in cornstarch mixed with kirsch. Serve with cubes of bread for dipping."
Venezuelan,Venezuelan Specialty,"Venezuelan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Venezuelan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Jamaican,Curried Goat,"goat meat, curry powder, garlic, onions, thyme, potatoes, carrots, ginger, salt, pepper, oil","Marinate goat meat in curry powder and spices. Brown the meat, add vegetables, and simmer until tender."
Lebanese,Chicken Shawarma,"chicken, yogurt, lemon juice, garlic, cumin, coriander, paprika, turmeric, salt, pepper, pita bread","Marinate chicken in yogurt, lemon, and spices, then roast until cooked. Slice thinly and serve in pita with salad and sauce."
Turkmen,Turkmen Specialty,"Turkmen spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkmen spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Kyrgyz,Kyrgyz Specialty,"Kyrgyz spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kyrgyz spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Scottish,Scottish Specialty,"Scottish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Scottish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Belgian,Moules-Frites,"mussels, potatoes, white wine, garlic, shallots, parsley, butter, salt, pepper",Steam mussels in white wine with garlic and shallots. Serve with crispy fries tossed in parsley and butter.
Moroccan,Chicken Tagine,"chicken, preserved lemons, olives, onions, garlic, ginger, saffron, cinnamon, olive oil, salt, pepper, cilantro","Brown chicken in olive oil, add onions, garlic, ginger, saffron, and cinnamon. Stir in preserved lemons and olives, then simmer until tender. Garnish with cilantro."
Mexican,Mexican Specialty,"Mexican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mexican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
American,BBQ Ribs,"pork ribs, BBQ sauce, salt, pepper, garlic powder, onion powder, paprika","Season ribs with spices, bake low and slow until tender, then brush with BBQ sauce and grill briefly for a smoky finish."
Brazilian,Feijoada,"black beans, pork, beef, sausage, onions, garlic, bay leaves, orange, salt, pepper","Soak black beans overnight. Cook with assorted meats, onions, garlic, and spices until thick and flavorful. Garnish with orange slices."
Italian,Spaghetti Carbonara,"spaghetti, pancetta, eggs, Parmesan cheese, black pepper, salt","Cook spaghetti until al dente. Fry pancetta until crisp. Mix eggs and cheese, then combine with hot pasta off the heat to create a creamy sauce. Season with pepper."
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Australian,Australian Specialty,"Australian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Australian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Chilean,Empanadas,"flour, beef, onions, olives, raisins, hard-boiled egg, cumin, paprika, salt, pepper, oil","Prepare dough from flour and water. Cook beef with onions and spices, then fill dough rounds with the mixture, fold and bake until golden."
Dutch,Dutch Specialty,"Dutch spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dutch spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Cambodian,Cambodian Specialty,"Cambodian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Cambodian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Palestinian,Palestinian Specialty,"Palestinian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Palestinian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Greek,Moussaka,"eggplant, ground lamb, tomatoes, onions, garlic, béchamel sauce, olive oil, cinnamon, nutmeg, salt, pepper","Roast eggplant slices and cook ground lamb with onions, garlic, and tomatoes. Layer eggplant and meat, top with béchamel, then bake until golden."
Chinese,Kung Pao Chicken,"chicken, peanuts, dried chili peppers, Sichuan peppercorns, soy sauce, vinegar, sugar, garlic, ginger, scallions, cornstarch, oil","Marinate chicken with soy sauce and cornstarch. Stir-fry garlic, ginger, and chili peppers, add chicken and a sauce of vinegar and sugar, then toss in peanuts until thickened."
South African,Bobotie,"ground beef, onions, bread, milk, eggs, curry powder, dried fruit, bay leaves, salt, pepper","Sauté onions with ground beef and spices. Soak bread in milk and eggs, layer with meat mixture, top with bay leaves, and bake until set."
Croatian,Croatian Specialty,"Croatian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Croatian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Uzbek,Uzbek Specialty,"Uzbek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uzbek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Serbian,Serbian Specialty,"Serbian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Serbian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Algerian,Algerian Specialty,"Algerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Algerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Croatian,Croatian Specialty,"Croatian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Croatian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Moroccan,Chicken Tagine,"chicken, preserved lemons, olives, onions, garlic, ginger, saffron, cinnamon, olive oil, salt, pepper, cilantro","Brown chicken in olive oil, add onions, garlic, ginger, saffron, and cinnamon. Stir in preserved lemons and olives, then simmer until tender. Garnish with cilantro."
Austrian,Austrian Specialty,"Austrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Austrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Dutch,Dutch Specialty,"Dutch spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dutch spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Jamaican,Curried Goat,"goat meat, curry powder, garlic, onions, thyme, potatoes, carrots, ginger, salt, pepper, oil","Marinate goat meat in curry powder and spices. Brown the meat, add vegetables, and simmer until tender."
Latvian,Latvian Specialty,"Latvian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Latvian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Lebanese,Lebanese Specialty,"Lebanese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Lebanese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Kenyan,Kenyan Specialty,"Kenyan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kenyan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Azerbaijani,Azerbaijani Specialty,"Azerbaijani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Azerbaijani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Colombian,Colombian Specialty,"Colombian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Colombian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Greek,Greek Salad,"tomatoes, cucumbers, red onions, olives, feta cheese, olive oil, oregano, salt, pepper","Chop vegetables and combine with olives and feta. Drizzle with olive oil, season with oregano, salt, and pepper, then toss gently."
Scandinavian,Gravlax,"salmon, salt, sugar, dill, white pepper","Cure salmon with a mixture of salt, sugar, dill, and white pepper for several days. Slice thinly and serve with mustard sauce."
Kyrgyz,Kyrgyz Specialty,"Kyrgyz spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kyrgyz spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Uzbek,Uzbek Specialty,"Uzbek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uzbek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Dutch,Dutch Specialty,"Dutch spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dutch spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mexican,Tacos al Pastor,"pork, pineapple, chili peppers, achiote paste, garlic, onions, cilantro, lime, corn tortillas, salt","Marinate pork in achiote, chili, and spices. Roast with pineapple, then serve on warmed tortillas with onions, cilantro, and lime."
South African,South African Specialty,"South African spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in South African spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Ukrainian,Borscht,"beets, cabbage, potatoes, carrots, tomatoes, onions, garlic, dill, vinegar, salt, pepper","Boil vegetables in a savory broth, add vinegar and dill, then simmer until tender. Serve hot with a dollop of sour cream."
Malaysian,Nasi Lemak,"rice, coconut milk, pandan leaves, anchovies, peanuts, boiled egg, sambal, cucumber, salt","Cook rice in coconut milk with pandan leaves. Fry anchovies and peanuts. Serve rice with boiled egg, sambal, and cucumber slices."
German,Sauerbraten,"beef roast, vinegar, water, onions, carrots, celery, garlic, bay leaves, cloves, sugar, salt, pepper, oil","Marinate beef in vinegar, water, and spices for several days. Brown and slow-cook the beef in the marinade until tender. Serve with the resulting gravy."
South African,South African Specialty,"South African spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in South African spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
American,Classic Burger,"ground beef, hamburger buns, lettuce, tomato, cheddar cheese, onions, pickles, salt, pepper, condiments","Form ground beef into patties, season and grill to desired doneness. Assemble on a bun with fresh vegetables and condiments."
Croatian,Croatian Specialty,"Croatian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Croatian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Portuguese,Bacalhau à Brás,"salted cod, potatoes, eggs, onions, olives, parsley, salt, pepper, olive oil","Soak salted cod to remove excess salt. Sauté onions, add shredded cod and fried potato strips, then stir in beaten eggs until just set. Garnish with olives and parsley."
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Peranakan,Peranakan Specialty,"Peranakan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Peranakan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
